structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.2,10,9,0.5221326482183075,0.681012601875545,0.681012601875545,0.1588799536572375,2,15,30,40
V,0.2,10,10,0.5326571960286279,0.7215829160142714,0.7215829160142714,0.18892571998564345,3,15,30,40
V,0.2,10,11,0.48463284632050174,0.5782469927381586,0.5782469927381586,0.09361414641765686,1,15,30,40
V,0.2,10,12,0.5845492921474736,0.6843768516319872,0.6843768516319872,0.0998275594845136,1,15,30,40
V,0.2,10,13,0.4458578997880018,0.6661621861385189,0.6661621861385189,0.22030428635051708,2,15,30,40
V,0.2,10,14,0.45264382789621843,0.7207595489517115,0.7207595489517115,0.26811572105549303,2,15,30,40
V,0.2,10,15,0.591754472943818,0.6519319710645015,0.6519319710645015,0.060177498120683515,2,15,30,40
V,0.2,10,16,0.48838119323422885,0.6574561637578252,0.6574561637578252,0.16907497052359638,2,15,30,40
V,0.2,10,17,0.4603485367497419,0.6344123612453842,0.6344123612453842,0.17406382449564234,2,15,30,40
V,0.2,10,18,0.5496982598279786,0.6832293380344793,0.6832293380344793,0.13353107820650068,2,15,30,40
V,0.2,10,19,0.48070578395320107,0.629006824827182,0.629006824827182,0.14830104087398088,1,15,30,40
V,0.2,10,20,0.482983135813674,0.7506453280303546,0.7506453280303546,0.26766219221668053,5,15,30,40
V,0.2,10,21,0.5283784364760534,0.6279370739580704,0.6279370739580704,0.09955863748201699,1,15,30,40
V,0.2,10,22,0.42284772027519185,0.677888800556991,0.677888800556991,0.2550410802817991,1,15,30,40
V,0.2,10,23,0.31495809140453274,0.7109249229534774,0.7109249229534774,0.3959668315489447,3,15,30,40
V,0.2,10,24,0.5035825155433434,0.6587638633545244,0.6587638633545244,0.15518134781118098,1,15,30,40
V,0.2,10,25,0.4925933585633768,0.7371295566811985,0.7371295566811985,0.24453619811782168,2,15,30,40
V,0.2,10,26,0.5665414594792192,0.6901525891257482,0.6901525891257482,0.12361112964652898,2,15,30,40
V,0.2,10,27,0.5360859253265186,0.6713300188622771,0.6713300188622771,0.1352440935357585,1,15,30,40
V,0.2,10,28,0.5667989517616999,0.6339381850691213,0.6339381850691213,0.06713923330742133,2,15,30,40
V,0.2,10,29,0.4598540443380335,0.6296832664417723,0.6296832664417723,0.1698292221037388,1,15,30,40
V,0.2,10,30,0.4225185026172965,0.6791501160453929,0.6791501160453929,0.2566316134280964,2,15,30,40
V,0.2,10,31,0.4046563485144355,0.668958256100882,0.668958256100882,0.2643019075864465,3,15,30,40
V,0.2,10,32,0.47730532334868975,0.7027840406681491,0.7027840406681491,0.2254787173194594,3,15,30,40
V,0.2,10,33,0.4540972473876847,0.6527799089813994,0.6527799089813994,0.19868266159371467,2,15,30,40
V,0.2,10,34,0.4005199316304105,0.6194239187907098,0.6194239187907098,0.2189039871602993,2,15,30,40
V,0.2,10,35,0.46623683944260885,0.6564981691816286,0.6564981691816286,0.19026132973901977,1,15,30,40
V,0.2,10,36,0.49001156169415716,0.677306317544068,0.677306317544068,0.18729475584991084,3,15,30,40
V,0.2,10,37,0.655847493859095,0.6800904765245047,0.6800904765245047,0.024242982665409696,2,15,30,40
