structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.3,10,16,0.48253699729104527,0.6781857639147016,0.6781857639147016,0.19564876662365638,2,15,30,40,0.1,fragmentation_cost,
V,0.3,10,17,0.35471753502022324,0.6977578284915203,0.6977578284915203,0.3430402934712971,1,15,30,40,0.1,fragmentation_cost,
V,0.3,10,18,0.4925834128730823,0.6765332087735358,0.6765332087735358,0.18394979590045352,1,15,30,40,0.1,fragmentation_cost,
V,0.3,10,19,0.576864476362973,0.6717789140427762,0.6717789140427762,0.09491443767980323,2,15,30,40,0.1,fragmentation_cost,
V,0.3,10,20,0.5042642137812416,0.6628319409471863,0.6628319409471863,0.1585677271659447,1,15,30,40,0.1,fragmentation_cost,
V,0.4,2,1,0.5593164695395655,0.712091305699841,0.712091305699841,0.15277483616027554,3,15,30,40,0.1,fragmentation_cost,
V,0.4,2,2,0.5525300511758336,0.653335406105015,0.653335406105015,0.1008053549291813,3,15,30,40,0.1,fragmentation_cost,
V,0.4,2,3,0.5867309001753751,0.6866699088994229,0.6866699088994229,0.09993900872404782,4,15,30,40,0.1,fragmentation_cost,
V,0.4,2,4,0.5683955327410113,0.6957139434987153,0.6957139434987153,0.127318410757704,2,15,30,40,0.1,fragmentation_cost,
V,0.4,2,5,0.5151929089352753,0.6084479379214811,0.6084479379214811,0.09325502898620586,3,15,30,40,0.1,fragmentation_cost,
V,0.4,2,6,0.5678393301372873,0.740704360939133,0.740704360939133,0.1728650308018458,5,15,30,40,0.1,fragmentation_cost,
V,0.4,2,7,0.5203563296950311,0.7164438616429505,0.7164438616429505,0.1960875319479194,7,15,30,40,0.1,fragmentation_cost,
V,0.4,2,8,0.49733884381581456,0.741210917679924,0.741210917679924,0.24387207386410942,5,15,30,40,0.1,fragmentation_cost,
V,0.4,2,9,0.6083706032074727,0.6895783213643581,0.6895783213643581,0.08120771815688543,2,15,30,40,0.1,fragmentation_cost,
V,0.4,2,10,0.42318879952111377,0.7047488152756796,0.7047488152756796,0.2815600157545658,4,15,30,40,0.1,fragmentation_cost,
V,0.4,2,11,0.3939686872962048,0.7345564698374677,0.7345564698374677,0.3405877825412629,7,15,30,40,0.1,fragmentation_cost,
V,0.4,2,12,0.49795689910813556,0.6882903128181491,0.6882903128181491,0.19033341371001355,6,15,30,40,0.1,fragmentation_cost,
V,0.4,2,13,0.566163877673717,0.7402293542930714,0.7402293542930714,0.17406547661935434,6,15,30,40,0.1,fragmentation_cost,
V,0.4,2,14,0.5621216576856874,0.672619252244729,0.672619252244729,0.11049759455904151,4,15,30,40,0.1,fragmentation_cost,
V,0.4,2,15,0.43575201187524665,0.7244902695879004,0.7244902695879004,0.28873825771265377,6,15,30,40,0.1,fragmentation_cost,
V,0.4,2,16,0.666273483552659,0.738466281064735,0.738466281064735,0.07219279751207597,2,15,30,40,0.1,fragmentation_cost,
V,0.4,2,17,0.5545952946078899,0.6841012418457282,0.6841012418457282,0.12950594723783826,3,15,30,40,0.1,fragmentation_cost,
V,0.4,2,18,0.4482930474552573,0.7152852236447792,0.7152852236447792,0.2669921761895219,4,15,30,40,0.1,fragmentation_cost,
V,0.4,2,19,0.5148398824805034,0.7339263244970133,0.7339263244970133,0.21908644201650995,3,15,30,40,0.1,fragmentation_cost,
V,0.4,2,20,0.44787791704813595,0.6854489670430082,0.6854489670430082,0.23757104999487222,7,15,30,40,0.1,fragmentation_cost,
V,0.4,5,1,0.3733472999342756,0.7391973607246494,0.7391973607246494,0.36585006079037374,3,15,30,40,0.1,fragmentation_cost,
