structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.2,2,7,0.38826048296824583,0.725468654471426,0.7415727584460579,0.3372081715031802,15,30,40,10,0.25
V,0.2,2,8,0.3689562050712076,0.6734891602125939,0.741210917679924,0.3045329551413863,15,30,40,10,0.25
V,0.2,2,9,0.6088098174335459,0.6884560342427296,0.721921120853161,0.07964621680918371,15,30,40,10,0.25
V,0.2,2,10,0.4574712847477418,0.7645365268029429,0.7900978930834532,0.30706524205520114,15,30,40,10,0.25
V,0.2,2,11,0.26913333273472406,0.6624076853026588,0.7736283473975202,0.39327435256793475,15,30,40,10,0.25
V,0.2,2,12,0.49225039636209655,0.715371414926203,0.7403485819799474,0.2231210185641065,15,30,40,10,0.25
V,0.2,2,13,0.5431117884039005,0.727113571390801,0.7552057994613869,0.1840017829869005,15,30,40,10,0.25
V,0.2,2,14,0.3131260113179995,0.6650038292860815,0.7067576756341304,0.351877817968082,15,30,40,10,0.25
V,0.2,2,15,0.6016377135334763,0.7371586667768284,0.7690009111940658,0.13552095324335212,15,30,40,10,0.25
V,0.2,2,16,0.5933782992408149,0.7249133530435335,0.7681943192279542,0.13153505380271868,15,30,40,10,0.25
V,0.2,2,17,0.44383741594838055,0.620848596766,0.7107818687770691,0.17701118081761946,15,30,40,10,0.25
V,0.2,2,18,0.37332862017171364,0.6992603764814792,0.704215329513115,0.32593175630976556,15,30,40,10,0.25
V,0.2,2,19,0.518848665378269,0.6658532252292774,0.7998096907572322,0.14700455985100835,15,30,40,10,0.25
V,0.2,2,20,0.534800586063448,0.6931370980189382,0.7281642953078487,0.15833651195549014,15,30,40,10,0.25
V,0.2,5,1,0.38746579291961497,0.7419674807944058,0.7419674807944058,0.3545016878747908,15,30,40,10,0.25
V,0.2,5,2,0.5437924513099386,0.6260849689755209,0.6926182984608046,0.08229251766558232,15,30,40,10,0.25
V,0.2,5,3,0.4722015606539277,0.6034993795951772,0.7096051788656687,0.13129781894124948,15,30,40,10,0.25
V,0.2,5,4,0.5030219246910471,0.6928031379268902,0.7397307246212436,0.18978121323584307,15,30,40,10,0.25
V,0.2,5,5,0.5832835426646894,0.7362802271657034,0.7494155088115158,0.152996684501014,15,30,40,10,0.25
V,0.2,5,6,0.4417697514739694,0.7087053621898722,0.7675892786591211,0.2669356107159028,15,30,40,10,0.25
V,0.2,5,7,0.47561383986267164,0.7295977652822668,0.7295977652822668,0.2539839254195952,15,30,40,10,0.25
V,0.2,5,8,0.4376114829768733,0.6313259098525624,0.6957473493550164,0.19371442687568913,15,30,40,10,0.25
V,0.2,5,9,0.5841236567320135,0.7202595748236625,0.8065345346652147,0.13613591809164904,15,30,40,10,0.25
V,0.2,5,10,0.42252464230046216,0.6975580957190541,0.7146293404461296,0.275033453418592,15,30,40,10,0.25
V,0.2,5,11,0.547744223167747,0.6505263533156935,0.7115661602145418,0.10278213014794657,15,30,40,10,0.25
V,0.2,5,12,0.495468142646315,0.6614941356122916,0.7316740162087261,0.16602599296597664,15,30,40,10,0.25
V,0.2,5,13,0.5652127647201889,0.7536827682830375,0.7536827682830375,0.1884700035628486,15,30,40,10,0.25
V,0.2,5,14,0.4736512802463314,0.6310656237892538,0.7158315889591448,0.15741434354292239,15,30,40,10,0.25
V,0.2,5,15,0.46162641789027353,0.6503186919350892,0.7556535735003986,0.18869227404481564,15,30,40,10,0.25
V,0.2,5,16,0.614567744373925,0.7235283050862038,0.7650782645891916,0.10896056071227878,15,30,40,10,0.25
V,0.2,5,17,0.41881407238577084,0.6576719419663876,0.7154412182483794,0.23885786958061672,15,30,40,10,0.25
V,0.2,5,18,0.48535643077330376,0.6535814011249896,0.7021736505250041,0.16822497035168588,15,30,40,10,0.25
V,0.2,5,19,0.41449189500148,0.7604724386476749,0.7604724386476749,0.3459805436461949,15,30,40,10,0.25
V,0.2,5,20,0.33599351652784554,0.6831074660755518,0.7740672590007605,0.3471139495477063,15,30,40,10,0.25
V,0.2,10,1,0.33683252689837384,0.6271032245065807,0.6662305177458413,0.2902706976082069,15,30,40,10,0.25
V,0.2,10,2,0.46860498119182525,0.7282644452748067,0.7282644452748067,0.25965946408298146,15,30,40,10,0.25
V,0.2,10,3,0.5900725494674844,0.6484178050963786,0.8120690148386941,0.058345255628894144,15,30,40,10,0.25
V,0.2,10,4,0.39096673657197945,0.6766881322252704,0.6851551440693311,0.2857213956532909,15,30,40,10,0.25
V,0.2,10,5,0.3449649907422351,0.6763886072437818,0.7365345838753684,0.3314236165015467,15,30,40,10,0.25
V,0.2,10,6,0.5315569572543057,0.6990146626363885,0.7490448989600715,0.1674577053820827,15,30,40,10,0.25
