structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.5,10,23,100,0.551628157372248,0.7397210449385786
V,0.5,10,24,100,0.3554918833666035,0.6867623396791395
V,0.5,10,25,100,0.48289931583020246,0.6627254557326009
V,0.5,10,26,100,0.48730107190466065,0.6503809940673372
V,0.5,10,27,100,0.5087821599269923,0.6578396156763346
V,0.5,10,28,100,0.6362869658175249,0.6362869658175249
V,0.5,10,29,100,0.4016728528582841,0.6106571591307455
V,0.5,10,30,100,0.3989990940179159,0.6607511991456095
V,0.8,2,1,100,0.5017445825740866,0.712091305699841
V,0.8,2,2,100,0.4771444372467362,0.6980559379361673
V,0.8,2,3,100,0.46752106571618907,0.6949662709381508
V,0.8,2,4,100,0.44856191472228046,0.6974635921612548
V,0.8,2,5,100,0.5308318531249834,0.7235417717164689
V,0.8,2,6,100,0.539063298344581,0.7289297867562827
V,0.8,2,7,100,0.49573178046207234,0.6708766877125696
V,0.8,2,8,100,0.47062550317849644,0.6317421979923575
V,0.8,2,9,100,0.49230573228021757,0.6951612433429765
V,0.8,2,10,100,0.5713370804815985,0.7047488152756796
V,0.8,2,11,100,0.4194456125967944,0.7570930983664377
V,0.8,2,12,100,0.5421408384516412,0.6464190708366836
V,0.8,2,13,100,0.48218300545450526,0.7103178697264975
V,0.8,2,14,100,0.47374423491371764,0.6601249218770052
V,0.8,2,15,100,0.4396186568982549,0.685946475160429
V,0.8,2,16,100,0.5253172046167264,0.7242412369242389
V,0.8,2,17,100,0.5065634641989382,0.6371433560264285
V,0.8,2,18,100,0.5488220724249633,0.6432828556956216
V,0.8,2,19,100,0.5389229770550853,0.7339263244970133
V,0.8,2,20,100,0.48804234768496974,0.5823820145308769
V,0.8,2,21,100,0.4128542638104818,0.7629003945959004
V,0.8,2,22,100,0.40757911079587833,0.6978805453292363
V,0.8,2,23,100,0.5215832484936384,0.7541459655326107
V,0.8,2,24,100,0.42146365175741063,0.704579550194217
V,0.8,2,25,100,0.4874613282237371,0.6999594698184904
V,0.8,2,26,100,0.4526097447830739,0.6940409434894813
V,0.8,2,27,100,0.566481732897671,0.7242492783621578
V,0.8,2,28,100,0.5097305515127541,0.7832528516645012
V,0.8,2,29,100,0.42190958057371913,0.7095908403894498
V,0.8,2,30,100,0.6464531125543104,0.7474192519286084
V,0.8,5,1,100,0.43668039214820303,0.660616578200598
V,0.8,5,2,100,0.6165951576369522,0.7069079291120025
V,0.8,5,3,100,0.571848477068079,0.729452903524459
