structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.5,10,2,100,0.25,0.5061280178788495,0.6771649699373097,0.17103695205846015,15,30,40
V,0.5,10,3,100,0.25,0.5002305514067557,0.7030293428831751,0.20279879147641944,15,30,40
V,0.5,10,4,100,0.25,0.5932098183997615,0.6387828690748787,0.04557305067511719,15,30,40
V,0.5,10,5,100,0.25,0.5244586602036369,0.6686493229681184,0.14419066276448156,15,30,40
V,0.5,10,6,100,0.25,0.5871664479621276,0.5871664479621276,0.0,15,30,40
V,0.5,10,7,100,0.25,0.3890942704648086,0.6157264031695812,0.22663213270477256,15,30,40
V,0.5,10,8,100,0.25,0.3966830198494916,0.6191952386894661,0.22251221883997452,15,30,40
V,0.5,10,9,100,0.25,0.3791109044190366,0.7204697778552884,0.3413588734362518,15,30,40
V,0.5,10,10,100,0.25,0.5229457666446767,0.6674948011511436,0.14454903450646683,15,30,40
V,0.5,10,11,100,0.25,0.5219467304445202,0.6520426581648129,0.13009592772029266,15,30,40
V,0.5,10,12,100,0.25,0.4585074066434578,0.6171929014141714,0.1586854947707136,15,30,40
V,0.5,10,13,100,0.25,0.49467424066435367,0.6367419183366293,0.14206767767227563,15,30,40
V,0.5,10,14,100,0.25,0.48881707720721157,0.6926163351069026,0.203799257899691,15,30,40
V,0.5,10,15,100,0.25,0.45909568820126734,0.6170513660782506,0.15795567787698328,15,30,40
V,0.5,10,16,100,0.25,0.522833347160766,0.6741164101277997,0.15128306296703364,15,30,40
V,0.5,10,17,100,0.25,0.43543970557644346,0.696027301626058,0.2605875960496145,15,30,40
V,0.5,10,18,100,0.25,0.4885884712464692,0.6321005232283519,0.14351205198188266,15,30,40
V,0.5,10,19,100,0.25,0.38429630473514625,0.6956626652492542,0.311366360514108,15,30,40
V,0.5,10,20,100,0.25,0.5221634355767147,0.7437557039897793,0.22159226841306456,15,30,40
V,0.5,10,21,100,0.25,0.49347489416228224,0.6264767660377201,0.13300187187543783,15,30,40
V,0.5,10,22,100,0.25,0.6087075297836776,0.6087075297836776,0.0,15,30,40
V,0.5,10,23,100,0.25,0.5860504902794229,0.6907102109920885,0.1046597207126656,15,30,40
