structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
H,0.1,5,8,0.45493744648996653,0.45493744648996653,0.45493744648996653,0.0,0,0,40,15,30,40
H,0.1,5,9,0.4379312828296539,0.5281099006379522,0.5281099006379522,0.09017861780829828,26,2,38,15,30,40
H,0.1,5,10,0.4604218031010434,0.4604218031010434,0.4604218031010434,0.0,0,0,40,15,30,40
H,0.1,5,11,0.5346851746172974,0.6024678488906581,0.6024678488906581,0.06778267427336071,38,1,39,15,30,40
H,0.1,5,12,0.31174550021395636,0.4902621846657807,0.4902621846657807,0.17851668445182434,19,1,39,15,30,40
H,0.1,5,13,0.5656677710054361,0.5656677710054361,0.5656677710054361,0.0,0,0,40,15,30,40
H,0.1,5,14,0.5526852635060276,0.5526852635060276,0.5526852635060276,0.0,0,0,40,15,30,40
H,0.1,5,15,0.4146607978424803,0.5731482518953648,0.5731482518953648,0.1584874540528845,3,1,39,15,30,40
H,0.1,5,16,0.4648564860265686,0.4648564860265686,0.4648564860265686,0.0,0,0,40,15,30,40
H,0.1,5,17,0.48868774758613315,0.559060623283802,0.559060623283802,0.07037287569766887,23,1,39,15,30,40
H,0.1,5,18,0.5176199270328523,0.5176199270328523,0.5176199270328523,0.0,0,0,40,15,30,40
H,0.1,5,19,0.44065217639876486,0.44065217639876486,0.44065217639876486,0.0,0,0,40,15,30,40
H,0.1,5,20,0.42281677975899196,0.5708676419166729,0.5708676419166729,0.14805086215768098,15,1,39,15,30,40
H,0.1,5,21,0.5347504906997335,0.5347504906997335,0.5347504906997335,0.0,0,0,40,15,30,40
H,0.1,5,22,0.41815422883239955,0.49460354330108597,0.49460354330108597,0.07644931446868641,24,1,39,15,30,40
H,0.1,5,23,0.4827858221895588,0.4827858221895588,0.4827858221895588,0.0,0,0,40,15,30,40
H,0.1,5,24,0.4928695821044665,0.4928695821044665,0.4928695821044665,0.0,0,0,40,15,30,40
H,0.1,5,25,0.4770762124556423,0.4770762124556423,0.4770762124556423,0.0,0,0,40,15,30,40
H,0.1,5,26,0.52855674573842,0.52855674573842,0.52855674573842,0.0,0,0,40,15,30,40
H,0.1,5,27,0.5329233917063827,0.5329233917063827,0.5329233917063827,0.0,0,0,40,15,30,40
H,0.1,5,28,0.5272499378151598,0.5794572183633014,0.5794572183633014,0.05220728054814161,8,1,39,15,30,40
H,0.1,5,29,0.4121534713996283,0.4121534713996283,0.4121534713996283,0.0,0,0,40,15,30,40
H,0.1,5,30,0.5281007498446358,0.5281007498446358,0.5281007498446358,0.0,0,0,40,15,30,40
H,0.1,5,31,0.49521871908618353,0.49521871908618353,0.49521871908618353,0.0,0,0,40,15,30,40
H,0.1,5,32,0.49129841067633234,0.49129841067633234,0.49129841067633234,0.0,0,0,40,15,30,40
H,0.1,5,33,0.5426205690225954,0.5426205690225954,0.5426205690225954,0.0,0,0,40,15,30,40
H,0.1,5,34,0.4068891032632448,0.4068891032632448,0.4068891032632448,0.0,0,0,40,15,30,40
H,0.1,5,35,0.397297902927573,0.5134860361657216,0.5134860361657216,0.11618813323814864,14,1,39,15,30,40
H,0.1,5,36,0.5139574517114295,0.5139574517114295,0.5139574517114295,0.0,0,0,40,15,30,40
H,0.1,5,37,0.5387082846280274,0.5661715533687144,0.5661715533687144,0.02746326874068694,20,1,39,15,30,40
H,0.1,5,38,0.5531168953390023,0.5531168953390023,0.5531168953390023,0.0,0,0,40,15,30,40
H,0.1,5,39,0.41693454152534326,0.41693454152534326,0.41693454152534326,0.0,0,0,40,15,30,40
H,0.1,5,40,0.5928148278351074,0.6158987843118298,0.6158987843118298,0.023083956476722345,8,1,39,15,30,40
H,0.1,10,1,0.4920568991220801,0.4920568991220801,0.4920568991220801,0.0,0,0,40,15,30,40
H,0.1,10,2,0.4868103728037678,0.4868103728037678,0.4868103728037678,0.0,0,0,40,15,30,40
H,0.1,10,3,0.6013599671035089,0.6035351789194484,0.6035351789194484,0.002175211815939493,27,1,39,15,30,40
H,0.1,10,4,0.5257817146880924,0.5538752678960511,0.5538752678960511,0.0280935532079587,21,1,39,15,30,40
H,0.1,10,5,0.561893115259531,0.561893115259531,0.561893115259531,0.0,0,0,40,15,30,40
H,0.1,10,6,0.4379587715811334,0.4379587715811334,0.4379587715811334,0.0,0,0,40,15,30,40
H,0.1,10,7,0.5176647872584194,0.5176647872584194,0.5176647872584194,0.0,0,0,40,15,30,40
H,0.1,10,8,0.36656534137480956,0.5030459803397597,0.5030459803397597,0.1364806389649501,17,1,39,15,30,40
H,0.1,10,9,0.40795485762736117,0.40795485762736117,0.40795485762736117,0.0,0,0,40,15,30,40
H,0.1,10,10,0.4866413710865217,0.4866413710865217,0.4866413710865217,0.0,0,0,40,15,30,40
H,0.1,10,11,0.6498476250907171,0.6498476250907171,0.6498476250907171,0.0,0,0,40,15,30,40
H,0.1,10,12,0.572839425000964,0.572839425000964,0.572839425000964,0.0,0,0,40,15,30,40
H,0.1,10,13,0.4222647005819968,0.4222647005819968,0.4222647005819968,0.0,0,0,40,15,30,40
H,0.1,10,14,0.5768750030753756,0.5768750030753756,0.5768750030753756,0.0,0,0,40,15,30,40
H,0.1,10,15,0.3352171852360619,0.3352171852360619,0.3352171852360619,0.0,0,0,40,15,30,40
H,0.1,10,16,0.4885835232503778,0.4885835232503778,0.4885835232503778,0.0,0,0,40,15,30,40
H,0.1,10,17,0.4348314192131188,0.4348314192131188,0.4348314192131188,0.0,0,0,40,15,30,40
H,0.1,10,18,0.5089839757829259,0.5089839757829259,0.5089839757829259,0.0,0,0,40,15,30,40
H,0.1,10,19,0.6111831419259957,0.6111831419259957,0.6111831419259957,0.0,0,0,40,15,30,40
H,0.1,10,20,0.3907509627036077,0.3907509627036077,0.3907509627036077,0.0,0,0,40,15,30,40
H,0.1,10,21,0.37088889006158593,0.37088889006158593,0.37088889006158593,0.0,0,0,40,15,30,40
H,0.1,10,22,0.5042543374293932,0.6461016479230207,0.6461016479230207,0.14184731049362753,9,1,39,15,30,40
H,0.1,10,23,0.45971103955995,0.45971103955995,0.45971103955995,0.0,0,0,40,15,30,40
H,0.1,10,24,0.5024030680226349,0.5024030680226349,0.5024030680226349,0.0,0,0,40,15,30,40
H,0.1,10,25,0.5282035278073778,0.6512202139504021,0.6512202139504021,0.1230166861430243,22,1,39,15,30,40
H,0.1,10,26,0.5460864490794535,0.5460864490794535,0.5460864490794535,0.0,0,0,40,15,30,40
H,0.1,10,27,0.5779129605271017,0.5779129605271017,0.5779129605271017,0.0,0,0,40,15,30,40
H,0.1,10,28,0.466361959520482,0.6439425477449893,0.6439425477449893,0.17758058822450729,31,2,38,15,30,40
H,0.1,10,29,0.6289648081986932,0.6289648081986932,0.6289648081986932,0.0,0,0,40,15,30,40
H,0.1,10,30,0.39644998889427935,0.39644998889427935,0.39644998889427935,0.0,0,0,40,15,30,40
H,0.1,10,31,0.4519844265691152,0.4519844265691152,0.4519844265691152,0.0,0,0,40,15,30,40
H,0.1,10,32,0.5582748451942393,0.5582748451942393,0.5582748451942393,0.0,0,0,40,15,30,40
H,0.1,10,33,0.588608056206715,0.588608056206715,0.588608056206715,0.0,0,0,40,15,30,40
